ID_HDC_G0;QA2_1V;AREA;BBX_LATMN;BBX_LONMN;BBX_LATMX;BBX_LONMX;GCPNT_LAT;GCPNT_LON;CTR_MN_NM;CTR_MN_ISO;XBRDR;XCTR_NBR;XC_NM_LST;XC_ISO_LST;GRGN_L1;GRGN_L2;UC_NM_MN;UC_NM_LST;UC_NM_SRC;H75_NBR;H90_NBR;H00_NBR;H75_AREA
8855;2;21;26.30990934;85.08378381;26.36893925;85.13805495;26.34504481;85.10908692;India;IND;0;1;India;IND;Asia;South-Central Asia;Mehsi;Mehsi;GISCO OSM;0;1;1;0
8856;1;13;16.7276345;81.65450102;16.76874876;81.70421714;16.75072132;81.67835801;India;IND;0;1;India;IND;Asia;South-Central Asia;Tanuku;Tanuku;GISCO OSM;1;1;1;10
8857;2;10;26.51234528;85.17566638;26.53765927;85.22230773;26.52500201;85.19898635;India;IND;0;1;India;IND;Asia;South-Central Asia;Phenhara;Phenhara;GISCO OSM;0;0;0;0
8858;2;7;25.5687813;84.74757725;25.58560558;84.80814457;25.57539073;84.77706698;India;IND;0;1;India;IND;Asia;South-Central Asia;Koliwar;Koliwar;GISCO OSM;0;0;0;0
8859;2;2;24.1921746;84.16391832;24.20892779;84.1813381;24.20055109;84.1726272;India;IND;0;1;India;IND;Asia;South-Central Asia;Patan;Patan;GISCO OSM;0;0;1;0
8860;2;8;26.45328754;85.15532605;26.47016;85.20581467;26.46172365;85.18056852;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8861;2;40;26.02335432;84.97525598;26.09918115;85.11459677;26.06084415;85.0436003;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
8862;2;7;25.03927181;84.53239546;25.06446671;84.57140293;25.05426854;84.55112769;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;1;1;0
8863;1;65;16.94146584;81.75780766;17.05664415;81.85321471;17.00683571;81.79643936;India;IND;0;1;India;IND;Asia;South-Central Asia;Rajamahendravaram;Rajamahendravaram;GISCO OSM;1;1;1;31
8864;2;10;26.48703341;85.19219941;26.51234528;85.24659744;26.49968908;85.21939502;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8865;2;25;26.15817046;85.04602045;26.22560069;85.11766659;26.18530935;85.08287217;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8866;2;10;25.2240802;84.63303169;25.25769316;84.68276018;25.23920559;84.65929141;India;IND;0;1;India;IND;Asia;South-Central Asia;Arwal;Arwal;GISCO OSM;0;1;1;0
8867;1;46;21.85465441;83.32282426;21.93787697;83.42873436;21.90205282;83.38078776;India;IND;0;1;India;IND;Asia;South-Central Asia;Raigarh;Raigarh;GISCO OSM;1;1;1;10
8868;2;10;25.38377326;84.71655081;25.41740306;84.75575648;25.40226921;84.73534656;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8869;1;105;51.76467554;107.4741602;51.87123908;107.7619441;51.83104774;107.626484;Russia;RUS;0;1;Russia;RUS;Europe;Eastern Europe;Ulan-Ude;Ulan-Ude;GISCO OSM;1;1;1;74
8870;2;6;25.73706461;84.87872133;25.7538979;84.92503226;25.74688392;84.90063213;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
8871;2;2;24.36812498;84.28909014;24.384887;84.30658987;24.37650588;84.29783899;India;IND;0;1;India;IND;Asia;South-Central Asia;Nawadiha;Nawadiha;GISCO OSM;0;0;0;0
