X.U.FEFF.ID_HDC_G0;QA2_1V;AREA;BBX_LATMN;BBX_LONMN;BBX_LATMX;BBX_LONMX;GCPNT_LAT;GCPNT_LON;CTR_MN_NM;CTR_MN_ISO;XBRDR;XCTR_NBR;XC_NM_LST;XC_ISO_LST;GRGN_L1;GRGN_L2;UC_NM_MN;UC_NM_LST;UC_NM_SRC;H75_NBR;H90_NBR;H00_NBR;H75_AREA;H90_AREA;H00_AREA;E_BM_NM_LST;E_SL_LST;EL_AV_ALS;E_KG_NM_LST;E_RB_NM_LST;E_WR_P_90;E_WR_P_00;E_WR_P_14;E_WR_T_90;E_WR_T_00;E_WR_T_14
4838;2;3;9.357218935;37.10400399;9.373477621;37.12466199;9.366703133;37.11583089;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Hareto;Hareto;GISCO OSM;0;0;0;0;0;0;Montane Grasslands and Shrublands;Nitisols;2316.536372;Mild temperate with dry winter, and  Warm summer;Nile;1616.100067;1499.425049;1642.175049;16.67574167;16.97279215;17.51398277
4839;1;9;-15.65982428;37.66577652;-15.61879814;37.69735044;-15.64022251;37.68300245;Mozambique;MOZ;0;1;Mozambique;MOZ;Africa;Eastern Africa;Alto Mol¢cue;Alto Mol¢cue;GISCO OSM;0;0;1;0;0;8;Tropical and subtropical grasslands, savannas, and shrublands;Acrisols;563.6956688;Tropical savannah with dry winter;NAN;1226.900024;1230.150024;1264.549988;23.32419968;23.62489319;23.69155216
4840;1;30;57.02462118;53.9159302;57.08553771;54.04746811;57.05270595;53.98584307;Russia;RUS;0;1;Russia;RUS;Europe;Eastern Europe;Votkinsk;Votkinsk;GISCO OSM;1;1;1;28;30;30;Temperate Broadleaf and Mixed Forests;Podzoluvisols;107.951088;Snow, fully humid, and  Warm summer;Volga;632.625;636.6500092;629.7500153;3.552301764;3.375417888;3.862469733
4841;1;10;37.23448304;42.4399237;37.26093895;42.48900912;37.24771056;42.4644654;Turkey;TUR;0;1;Turkey;TUR;Asia;Western Asia;Silopi;Silopi;GISCO OSM;0;0;1;0;0;7;Mediterranean Forests, Woodlands, and Scrub;Vertisols;506.256357;Mild temperate with dry summer, and  Hot summer;Tigris & Euphrates;609.7250137;581.5250092;593.3500061;18.66560984;19.54527473;19.67924118
4843;2;3;6.888977258;37.00338373;6.905197677;37.02382033;6.898439143;37.01514193;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Esara (Balle);Esara (Balle);GISCO OSM;0;0;0;0;0;0;Tropical and Subtropical Moist Broadleaf Forests;Nitisols;2306.278672;Mild temperate, fully humid, and  Warm summer;Lake Turkana;1060.950012;958.5250092;1186.550018;21.06349707;21.48262405;21.90887117
4844;1;26;40.75846902;43.81752312;40.83934573;43.87755141;40.79510091;43.84498858;Armenia;ARM;0;1;Armenia;ARM;Asia;Western Asia;Gyumri;Gyumri;GISCO OSM;1;1;1;23;23;26;Temperate Grasslands, Savannas, and Shrublands;Chernozems;1553.776036;Snow, fully humid, and  Warm summer;Kura;511.6000137;508.9250183;514.375;5.713279963;6.418023229;6.719010711
4845;2;4;7.083636444;37.02292827;7.099859451;37.05300376;7.09174792;37.03796601;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Tocha;Tocha;GISCO OSM;0;1;1;0;3;3;Tropical and Subtropical Moist Broadleaf Forests;Nitisols;2623.513929;Mild temperate, fully humid, and  Warm summer;Lake Turkana;1353.400055;1232.450012;1420.549988;18.54638529;18.98205328;19.42299223
4847;1;25;12.55830847;37.42530187;12.62361553;37.4796324;12.59471637;37.45493936;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Gonder;Gonder;GISCO OSM;1;1;1;11;12;16;Montane Grasslands and Shrublands;Leptosols;2135.704536;Mild temperate with dry winter, and  Warm summer;Nile;1032.25;1147.825027;1061.375046;20.6976409;21.04606962;21.50753069
4848;1;4;-13.20349899;37.49127144;-13.17898639;37.51233352;-13.19124257;37.50180231;Mozambique;MOZ;0;1;Mozambique;MOZ;Africa;Eastern Africa;Marrupa;Marrupa;GISCO OSM;0;0;0;0;0;0;Tropical and subtropical grasslands, savannas, and shrublands;Leptosols;812.0007964;Tropical savannah with dry winter;Messalo;1011.999985;1040.925034;999.1750336;23.7998209;24.03542757;24.16246843
4849;1;31;11.56314076;37.35829953;11.62020285;37.43308383;11.59167125;37.39372052;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Bahir Dar;Bahir Dar;GISCO OSM;1;1;1;16;21;24;Montane Grasslands and Shrublands;Luvisols;1804.886653;Mild temperate with dry winter, and  Hot summer;Nile;1195.474976;1372.450012;1309.550018;20.17472744;20.51942253;20.9892621
